Nature,1/31/2011,General Audience,yes,Received,Y,"animals, nonfiction, documentary, wildlife","For more than a quarter-century, NATURE has brought the beauty and wonder of the natural world into American homes, becoming in the process the benchmark of natural history programs on television. ",The beauty and wonder of the natural world.,http://video.pbs.org/program/979358043/
Antiques Roadshow,1/31/2011,General Audience,yes,Received,Y,"PBS, Antiques Roadshow, antiques, art, nonfiction","In each hour-long episode of Antiques Roadshow, some of the country’s leading specialists offer free appraisals of antiques and collectibles. Roadshow’s cameras capture tales of family heirlooms and yard-sale bargains.","In each hour-long episode, some of the country’s leading specialists offer free appraisals of antiques and collectibles.",http://video.pbs.org/program/979359328/
Art 21,1/31/2011,General Audience,yes,Received,Y,"PBS, art, design, documentary, modern art ","Art:21–Art in the Twenty-First Century” is the only series on television to focus exclusively on contemporary visual art and artists in the United States. Fascinating and intimate footage allows the viewer to observe the artists at work, watch their process as they transform inspiration into art, and hear their thoughts as they grapple with the physical and visual challenges of achieving their artistic visions.",Art in the Twenty-First Century,http://video.pbs.org/program/1217143847/
MotorWeek,1/31/2011,General Audience,yes,Received,Y,"PBS, cars, automobiles, racing ","PBS' award-winning weekly automotive magazine provides unbiased, consumer-oriented car news with feature stories on related topics.",PBS' award-winning weekly automotive magazine provides car news.,http://video.pbs.org/program/1215243671/
Made in Spain,1/31/2011,General Audience,yes,Received,Y,"PBS, cooking, jose andres, recipes, global food, spanish ","MADE IN SPAIN is a series exploring the culinary and cultural riches of Spain. Hosted by chef Jose Andres, the series highlights the extraordinary cooking traditions of a country whose food and wine is capturing the worlds' imagination.",A series exploring the culinary and cultural riches of Spain hosted by chef Jose Andres,http://www.pbs.org/madeinspain/
American Experience,1/31/2011,General Audience,yes,Received,Y,"PBS, documentary, American, experience, history, nonfiction","Praised as the ""finest documentary series on television,"" AMERICAN EXPERIENCE brings to life the compelling stories from our past that inform our understanding of the world today.",Compelling stories from our past that inform our understanding of the world today.,http://video.pbs.org/program/979359091/
Masterpiece,1/31/2011,General Audience,yes,Received,Y,"PBS, drama, history, suspense, romance","As the longest-running primetime drama on American television, Masterpiece is committed to bringing viewers the best in literature-based drama, mysteries, and groundbreaking contemporary works.",The longest-running primetime drama on American television,http://video.pbs.org/program/979359625/
Secrets of the Dead,1/31/2011,General Audience,yes,Received,Y,"PBS, drama, mystery, history, historical, documentary ","Part detective story, part true-life drama, Secrets of the Dead unearths evidence from around the world, challenging prevailing ideas and throwing fresh light on unexplained events. Using the most up-to-date science in the laboratory and in the field, scientists and researchers examine the missing pieces of each puzzle, completing the picture of what had been merely an assemblage of suppositions.","Unearthing evidence from around the world, challenging prevailing ideas and throwing fresh light on unexplained events.",http://video.pbs.org/program/1185782726/
Frontline,1/31/2011,General Audience,yes,Received,Y,"PBS, Frontline, news, current affairs, documentary, nonfiction","Exploring and illuminating the critical issues of our times – from Iraq and the war on terror, business, the economy to social issues, politics and health, science and technology.","Credible, thoughtful reporting combined with powerful narrative, a good story well told.",http://video.pbs.org/program/979358040/
Empires,1/31/2011,General Audience,yes,Received,Y,"PBS, history, culture, war ","Within the long history of civilization are great eras of struggle, triumph, and loss. These periods are reflective of the best and worst of humanity; explosive creativity, ultimate depravity, the use and abuse of power, and war.",A series which presents the people and passions that have changed the world.,http://www.pbs.org/empires/
History Detectives,1/31/2011,General Audience,yes,Received,Y,"PBS, history, mystery, investigation, archeology, collectibles, technology ","America's top gumshoes are back for a seventh season to prove once again that an object found in an attic or backyard might be anything but ordinary. Exploring historical objects and the stories behind them, History Detectives crisscrosses the country delving into legends, folklore and personal histories to discover potentially extraordinary objects in everyday American homes.","Delving into legends, folklore and personal histories to discover potentially extraordinary objects.",http://video.pbs.org/program/1138014438/,"replace full view screenshot, play video a bit before snapshot"
Carrier,1/31/2011,General Audience,yes,Received,Y,"PBS, military, USS Nimitz, Iraq war, Marines, war, aircraft, documentary ","CARRIER, a 10-part series filmed aboard the USS Nimitz, is a character-driven immersion in the high- stakes world of a nuclear aircraft carrier. The episodes follow a core group of characters as they navigate their jobs, families, faith, patriotism, love, the rites of passage and the war on terror. ","Filmed aboard the USS Nimitz, a character-driven immersion in the high- stakes world of a nuclear aircraft carrier.",http://video.pbs.org/program/1120934036/
Austin City Limits,1/31/2011,General Audience,yes,Received,Y,"PBS, music, musicians, rock, blues","Great music. No limits. Now the longest-running music series in American television history, ACL showcases popular music legends and innovators from every genre. In addition to being honored by the Rock and Roll Hall of Fame and Museum as a rock and roll landmark, ACL is the only television program to ever receive the National Medal of Arts, the nation's highest award for artistic excellence.",The longest-running music series in American television history.,http://video.pbs.org/program/1273976454/
PBS Newshour,2/15/2011,General Audience,yes,Received,,"PBS, news, reporting, current affairs, politics, Jim Lehrer","Millions of Americans turn to MacNeil/Lehrer Productions for the solid, reliable reporting that has made PBS NewsHour one of the most trusted news programs in television. ","On air and online, providing in-depth analysis of the issues that matter to you. ",http://video.pbs.org/program/979359630/
NOVA,1/31/2011,General Audience,yes,Received,Y,"PBS, NOVA, science, technology, nature, nonfiction","As entertaining as it is informative, NOVA explores innovations and discoveries from the world of science and technology while highlighting the human side of science.",Explores innovations and discoveries from the world of science and technology.,http://video.pbs.org/program/979359664/
Julia Child,2/15/2011,General Audience,yes,Received,Y,"PBS, Cooking, Food, Recipes, How To","Julia Child revolutionized American cuisine through her French cooking school, award-winning cookbooks, and world-renowned television programs by presenting an approachable version of sophisticated French cooking to her eager audience for four decades.",A collection of episodes from many of Julia's popular cooking programs.,http://video.pbs.org/program/1073557581/
Everyday Food,2/15/2011,General Audience,yes,Use Generic with show title,Y,"PBS, Cooking, Food, Recipes, How To","Welcome to the television series that brings the Everyday Food magazine and the new Everyday Food book  to life! The four talented cooks — Sarah, Lucinda, John and Anna — show you nutritious, delicious recipes that are simple to prepare and easy enough to cook everyday.",The television series that brings the Everyday Food magazine and the new Everyday Food book  to life!,http://video.pbs.org/program/1175461862/
American Masters,2/15/2011,General Audience,yes,Received,Y,"PBS, culture, artists, biography, music","Since its premiere in 1986, AMERICAN MASTERS has been the only PBS series committed to developing and producing comprehensive film biographies about the broad cast of characters who comprise our cultural history.","An ongoing series of award-winning primetime specials examining the lives, works, and creative processes of our most outstanding cultural artists.",http://video.pbs.org/program/1009784659/
Faces of America,3/1/2011,General Audience,yes,Received,Y,"PBS, Culture, Documentary, Biographic, Diversity","What made America? What makes us? These two questions are at the heart of the new PBS series Faces of America with Henry Louis Gates, Jr. The Harvard scholar turns to the latest tools of genealogy and genetics to explore the family histories of 12 renowned Americans",What made America? What makes us? These two questions are at the heart of the new PBS series Faces of America.,http://www.pbs.org/wnet/facesofamerica/
Craft in America,3/1/2011,General Audience,yes,Received,Y,"PBS, Documentary, Craft, Art, American, Folk","Craft in America explores the vitality, history and significance of the craft movement in the United States and its impact on our nation’s rich cultural heritage.  Capturing the beauty, creativity and originality of craftsmanship, the film highlights artists and explores the inter-relationship of what they do, how they do it and why they have chosen a life of creating art.","Exploring the vitality, history and significance of the craft movement in the United States and its impact on our nation’s rich cultural heritage.",http://video.pbs.org/program/1235387271/
Ascent of Money,3/1/2011,General Audience,yes,Received,Y,"PBS, Documentary, Finance, Economic, Economy","In the four-hour version of THE ASCENT OF MONEY, historian and author Niall Ferguson seeks to explain the financial history of the world, exploring how our complex system of global finance evolved over the centuries, how money has shaped the course of human affairs and how the mechanics of this economic system work to create seemingly unlimited wealth—or catastrophic loss.",Historian and author Niall Ferguson seeks to explain the financial history of the world.,http://www.pbs.org/wnet/ascentofmoney/
Wide Angle,3/1/2011,General Audience,yes,Received,Y,"PBS, Documentary, International, News, Current Affairs","Hosted by award-winning journalist Aaron Brown, Wide Angle tells the very human stories behind crucial global issues. It's America's only program exclusively devoted to international current affairs documentaries.",Wide Angle tells the very human stories behind crucial global issues and devoted to international current affairs documentaries.,http://www.pbs.org/wnet/wideangle/
Blueprint America,2/15/2011,General Audience,yes,Received,,"PBS, Documentary, Transportation, Infrastructure","Blueprint America harnesses the power of public broadcasting’s most prestigious programs, primetime documentaries, and the web to shine an unyielding spotlight on one of the most critical issues facing our country: America’s decaying and neglected infrastructure.",America’s decaying and neglected infrastructure.,http://www.pbs.org/wnet/blueprintamerica/
Nightly Business Report,2/15/2011,General Audience,yes,Received,,"PBS, Economics, Business, News, Current Affairs, Finance, Economy","Nightly Business Report rises above the noise of the marketplace with objective and insightful analysis of the top business, investment, and economic news of the day. NBR knows your money matters.","Providing insightful analysis of business, investment, and economic news of the day.",http://video.pbs.org/program/1140481159/
Botany of Desire,3/1/2011,General Audience,yes,Received,Y,"PBS, Gardening, How To, Outdoors, Nature, Plants","Featuring Michael Pollan and based on his best-selling book, this special takes viewers on an eye-opening exploration of the human relationship with the plant world.  The program shows how the apple, the tulip, marijuana and the potato - evolved to satisfy our yearnings.","Featuring Michael Pollan and based on his best-selling book, this special takes viewers on an eye-opening exploration of the human relationship with the plant world.",http://www.pbs.org/thebotanyofdesire/
Victory Garden,3/1/2011,General Audience,yes,Received,Y,"PBS, Gardening, How To, Outdoors, Nature, Plants","With so many Americans aspiring to care for the environment and create their own outdoor living spaces, The Victory Garden's unique fusion of garden design, earth-to-table cooking, and eco-conscious how-to tips is of greater interest today than ever before.  Now in it’s 35th season, the Victory Garden takes viewers on a coast-to-coast gardening journey—with host Jamie Durie.",Victory Garden takes viewers on a coast-to-coast gardening journey—with host Jamie Durie.,http://video.pbs.org/program/1350098498/
Sound Tracks,3/1/2011,General Audience,yes,Received,Y,"PBS, Music, Biography, International, Art, Culture","Sound Tracks explores how music is transforming politics and  culture around the globe. The one-hour pilot serves up a diverse menu of  Russian pop, afrobeat, Portuguese fado, and symphonic  music.",Explore how music is transforming politics and  culture around the globe.,http://video.pbs.org/program/1356395764/
In Performance at the White House,2/15/2011,General Audience,yes,Received,,"PBS, Music, Concerts, Performance, Live","In Performance at The White House was created to showcase the rich fabric of American culture in the setting of the nation's most famous home.  Since 1978, the program has embraced virtually every genre of American performance art.",Created to showcase the rich fabric of American culture in the setting of the nation's most famous home.,http://video.pbs.org/program/1073769600/
Need to Know,2/15/2011,General Audience,yes,Received,Y,"PBS, News, Current Affairs, Media, Politics","PBS's new TV and web newsmagazine gives you what you need to know -- along with a healthy dose of insight, perspective and wit. Need to Know cuts through the noise of nonstop news to bring you the most compelling stories of the week and of our times. Every Friday night nationwide and all week long on the web.",Cuts through the noise of nonstop news to bring you the most compelling stories of the week.,http://video.pbs.org/program/1458405365/
Bill Moyers,2/15/2011,General Audience,yes,Use Generic with show title,Y,"PBS, News, current affairs, politics","Bill Moyers Journal provides fresh, alternative insights into the personalities and issues shaping our country and the deeper, more institutional challenges facing us now and in the future.","Providing fresh, alternative insights into the personalities and issues shaping our country and the deeper, more institutional challenges facing us now and in the future.",http://video.pbs.org/program/1113570149/
Washington Week,3/1/2011,General Audience,yes,Received,Y,"PBS, News, Current Affairs, Politics, Political Science",Washington Week is the longest-running primetime news and public affairs program on television. The show features a group of journalists participating in a roundtable discussion of major news events and can be found at 8pm ET on most local PBS stations.,The longest-running primetime news and public affairs program on television,http://video.pbs.org/program/1171699076/
Sesame Street,2/15/2011,Kids,-,Received,Y,"PBS, PBS KIDS, kids, children, children's programming, cartoons, educational, reading","Sesame Street provides a comprehensive curriculum that supports preschoolers' cognitive, social, emotional, and physical development. Children learn to use their imaginations, build social skills, and respect people’s differences",A widely recognized and perpetually daring experiment in educational children's programming.,http://pbskids.org/sesame/
